Train No,Train Name,Start Type,Station Code,Station Name,Arrival time,Departure Time,Platform,Type,Source Station,Source Station Name,Destination Station,Destination Station Name
37742,TRN-742-SF,Through,DLI,DELHI JN.,16:10:00,16:20:00,5,Mail,AGRA,AGRA,DLI,DLI
71644,TRN-644-EXP,Through,DLI,DELHI JN.,06:50:00,06:57:00,1,MEMU,BOKARO,BOKARO,DLI,DLI
36130,TRN-130-EXP,Through,DLI,DELHI JN.,04:35:00,05:15:00,12,DMU,ROHTAK,ROHTAK,JALANDHAR,JALANDHAR
58351,TRN-351-M,Through,DLI,DELHI JN.,04:50:00,04:55:00,10,Express,KALKA,KALKA,DLI,DLI
50888,TRN-888-SF,Through,DLI,DELHI JN.,03:10:00,03:40:00,2,DMU,KOLKATA,KOLKATA,DLI,DLI
99687,TRN-687-EXP,Through,DLI,DELHI JN.,01:45:00,01:57:00,2,Shatabdi,JAMMU TAWI,JAMMU TAWI,DLI,DLI
11658,TRN-658-SF,Through,DLI,DELHI JN.,06:50:00,07:30:00,12,Passenger,AZAMGARH,AZAMGARH,DLI,DLI
67080,TRN-80-M,Through,DLI,DELHI JN.,11:10:00,11:15:00,8,SF Express,BIKANER,BIKANER,DLI,DLI
67091,TRN-91-PNR,Through,DLI,DELHI JN.,04:00:00,04:10:00,8,Rajdhani,KOLKATA,KOLKATA,DLI,DLI
54092,TRN-92-EXP,Through,DLI,DELHI JN.,04:35:00,04:42:00,5,DMU,LUCKNOW,LUCKNOW,JAMMU TAWI,JAMMU TAWI
82848,TRN-848-EXP,Through,DLI,DELHI JN.,22:45:00,22:52:00,11,SF Express,KOLKATA,KOLKATA,DELHI,DELHI
68743,TRN-743-EXP,Origin,DLI,DELHI JN.,01:45:00,01:45:00,11,Shatabdi,DLI,DELHI JN.,VARANASI,VARANASI
