Train No,Train Name,Start Node,End Node,Arrival time,Type
14206-24,DELHI-AYODHYA EXPRESS #24,SIG-EXIT-UPM,SIG-ENTRY-DNM,00:01:51,Express
12392-25,SHRAMJEEVI EXPRESS #25,SIG-ENTRY-DNM,SIG-EXIT-UPS,00:01:58,Express
64402-26,GHAZIABAD EMU LOCAL #26,SIG-EXIT-UPS,SIG-ENTRY-UPM,00:02:05,MEMU
64411-27,NEW DELHI EMU LOCAL #27,SIG-ENTRY-UPM,SIG-EXIT-DNM,00:02:12,MEMU
74002-28,ROHTAK DMU PASSENGER #28,SIG-EXIT-DNM,SIG-ENTRY-UPS,00:02:19,DMU
13008-29,TOOFAN MAIL #29,SIG-ENTRY-UPS,SIG-EXIT-UPM,00:02:26,Mail
BOXN-801-30,COAL RAKE SPECIAL #30,SIG-EXIT-UPM,SIG-ENTRY-DNM,00:02:33,Freight
CON-402-31,CONTAINER EXPRESS #31,SIG-ENTRY-DNM,SIG-EXIT-UPS,00:02:40,Freight
LOCO-REV-1-32,LIGHT ENGINE MOVEMENT #32,SIG-EXIT-UPS,SIG-ENTRY-UPM,00:02:47,Express
22436-33,VANDE BHARAT EXP #33,SIG-ENTRY-UPM,SIG-EXIT-DNM,00:02:54,Vande Bharat
12424-34,DIBRUGARH RAJDHANI #34,SIG-EXIT-DNM,SIG-ENTRY-UPS,00:03:01,Rajdhani
12301-35,HOWRAH RAJDHANI #35,SIG-ENTRY-UPS,SIG-EXIT-UPM,00:03:08,Rajdhani
12004-36,LUCKNOW SHATABDI #36,SIG-EXIT-UPM,SIG-ENTRY-DNM,00:03:15,Shatabdi
12014-37,AMRITSAR SHATABDI #37,SIG-ENTRY-DNM,SIG-EXIT-UPS,00:03:22,Shatabdi
12560-38,SHIV GANGA SF EXP #38,SIG-EXIT-UPS,SIG-ENTRY-UPM,00:03:29,SF Express
12418-39,PRAYAGRAJ EXPRESS #39,SIG-ENTRY-UPM,SIG-EXIT-DNM,00:03:36,SF Express
14206-40,DELHI-AYODHYA EXPRESS #40,SIG-EXIT-DNM,SIG-ENTRY-UPS,00:03:43,Express
12392-41,SHRAMJEEVI EXPRESS #41,SIG-ENTRY-UPS,SIG-EXIT-UPM,00:03:50,Express
64402-42,GHAZIABAD EMU LOCAL #42,SIG-EXIT-UPM,SIG-ENTRY-DNM,00:03:57,MEMU
64411-43,NEW DELHI EMU LOCAL #43,SIG-ENTRY-DNM,SIG-EXIT-UPS,00:04:04,MEMU
74002-44,ROHTAK DMU PASSENGER #44,SIG-EXIT-UPS,SIG-ENTRY-UPM,00:04:11,DMU
13008-45,TOOFAN MAIL #45,SIG-ENTRY-UPM,SIG-EXIT-DNM,00:04:18,Mail
BOXN-801-46,COAL RAKE SPECIAL #46,SIG-EXIT-DNM,SIG-ENTRY-UPS,00:04:25,Freight
CON-402-47,CONTAINER EXPRESS #47,SIG-ENTRY-UPS,SIG-EXIT-UPM,00:04:32,Freight
LOCO-REV-1-48,LIGHT ENGINE MOVEMENT #48,SIG-EXIT-UPM,SIG-ENTRY-DNM,00:04:39,Express
22436-49,VANDE BHARAT EXP #49,SIG-ENTRY-DNM,SIG-EXIT-UPS,00:04:46,Vande Bharat
12424-50,DIBRUGARH RAJDHANI #50,SIG-EXIT-UPS,SIG-ENTRY-UPM,00:04:53,Rajdhani
12301-51,HOWRAH RAJDHANI #51,SIG-ENTRY-UPM,SIG-EXIT-DNM,00:05:00,Rajdhani
12004-52,LUCKNOW SHATABDI #52,SIG-EXIT-DNM,SIG-ENTRY-UPS,00:05:07,Shatabdi
12014-53,AMRITSAR SHATABDI #53,SIG-ENTRY-UPS,SIG-EXIT-UPM,00:05:14,Shatabdi
12560-54,SHIV GANGA SF EXP #54,SIG-EXIT-UPM,SIG-ENTRY-DNM,00:05:21,SF Express
12418-55,PRAYAGRAJ EXPRESS #55,SIG-ENTRY-DNM,SIG-EXIT-UPS,00:05:28,SF Express
14206-56,DELHI-AYODHYA EXPRESS #56,SIG-EXIT-UPS,SIG-ENTRY-UPM,00:05:35,Express
12392-57,SHRAMJEEVI EXPRESS #57,SIG-ENTRY-UPM,SIG-EXIT-DNM,00:05:42,Express
64402-58,GHAZIABAD EMU LOCAL #58,SIG-EXIT-DNM,SIG-ENTRY-UPS,00:05:49,MEMU
64411-59,NEW DELHI EMU LOCAL #59,SIG-ENTRY-UPS,SIG-EXIT-UPM,00:05:56,MEMU
74002-60,ROHTAK DMU PASSENGER #60,SIG-EXIT-UPM,SIG-ENTRY-DNM,00:06:03,DMU
13008-61,TOOFAN MAIL #61,SIG-ENTRY-DNM,SIG-EXIT-UPS,00:06:10,Mail
BOXN-801-62,COAL RAKE SPECIAL #62,SIG-EXIT-UPS,SIG-ENTRY-UPM,00:06:17,Freight
CON-402-63,CONTAINER EXPRESS #63,SIG-ENTRY-UPM,SIG-EXIT-DNM,00:06:24,Freight
LOCO-REV-1-64,LIGHT ENGINE MOVEMENT #64,SIG-EXIT-DNM,SIG-ENTRY-UPS,00:06:31,Express
22436-65,VANDE BHARAT EXP #65,SIG-ENTRY-UPS,SIG-EXIT-UPM,00:06:38,Vande Bharat
12424-66,DIBRUGARH RAJDHANI #66,SIG-EXIT-UPM,SIG-ENTRY-DNM,00:06:45,Rajdhani
12301-67,HOWRAH RAJDHANI #67,SIG-ENTRY-DNM,SIG-EXIT-UPS,00:06:52,Rajdhani
12004-68,LUCKNOW SHATABDI #68,SIG-EXIT-UPS,SIG-ENTRY-UPM,00:06:59,Shatabdi
12014-69,AMRITSAR SHATABDI #69,SIG-ENTRY-UPM,SIG-EXIT-DNM,00:07:06,Shatabdi
12560-70,SHIV GANGA SF EXP #70,SIG-EXIT-DNM,SIG-ENTRY-UPS,00:07:13,SF Express
12418-71,PRAYAGRAJ EXPRESS #71,SIG-ENTRY-UPS,SIG-EXIT-UPM,00:07:20,SF Express
14206-72,DELHI-AYODHYA EXPRESS #72,SIG-EXIT-UPM,SIG-ENTRY-DNM,00:07:27,Express
12392-73,SHRAMJEEVI EXPRESS #73,SIG-ENTRY-DNM,SIG-EXIT-UPS,00:07:34,Express
64402-74,GHAZIABAD EMU LOCAL #74,SIG-EXIT-UPS,SIG-ENTRY-UPM,00:07:41,MEMU
64411-75,NEW DELHI EMU LOCAL #75,SIG-ENTRY-UPM,SIG-EXIT-DNM,00:07:48,MEMU
74002-76,ROHTAK DMU PASSENGER #76,SIG-EXIT-DNM,SIG-ENTRY-UPS,00:07:55,DMU
13008-77,TOOFAN MAIL #77,SIG-ENTRY-UPS,SIG-EXIT-UPM,00:08:02,Mail
BOXN-801-78,COAL RAKE SPECIAL #78,SIG-EXIT-UPM,SIG-ENTRY-DNM,00:08:09,Freight
CON-402-79,CONTAINER EXPRESS #79,SIG-ENTRY-DNM,SIG-EXIT-UPS,00:08:16,Freight
LOCO-REV-1-80,LIGHT ENGINE MOVEMENT #80,SIG-EXIT-UPS,SIG-ENTRY-UPM,00:08:23,Express
22436-81,VANDE BHARAT EXP #81,SIG-ENTRY-UPM,SIG-EXIT-DNM,00:08:30,Vande Bharat
12424-82,DIBRUGARH RAJDHANI #82,SIG-EXIT-DNM,SIG-ENTRY-UPS,00:08:37,Rajdhani
12301-83,HOWRAH RAJDHANI #83,SIG-ENTRY-UPS,SIG-EXIT-UPM,00:08:44,Rajdhani
12004-84,LUCKNOW SHATABDI #84,SIG-EXIT-UPM,SIG-ENTRY-DNM,00:08:51,Shatabdi
12014-85,AMRITSAR SHATABDI #85,SIG-ENTRY-DNM,SIG-EXIT-UPS,00:08:58,Shatabdi
12560-86,SHIV GANGA SF EXP #86,SIG-EXIT-UPS,SIG-ENTRY-UPM,00:09:05,SF Express
12418-87,PRAYAGRAJ EXPRESS #87,SIG-ENTRY-UPM,SIG-EXIT-DNM,00:09:12,SF Express
14206-88,DELHI-AYODHYA EXPRESS #88,SIG-EXIT-DNM,SIG-ENTRY-UPS,00:09:19,Express
12392-89,SHRAMJEEVI EXPRESS #89,SIG-ENTRY-UPS,SIG-EXIT-UPM,00:09:26,Express
64402-90,GHAZIABAD EMU LOCAL #90,SIG-EXIT-UPM,SIG-ENTRY-DNM,00:09:33,MEMU
64411-91,NEW DELHI EMU LOCAL #91,SIG-ENTRY-DNM,SIG-EXIT-UPS,00:09:40,MEMU
74002-92,ROHTAK DMU PASSENGER #92,SIG-EXIT-UPS,SIG-ENTRY-UPM,00:09:47,DMU
13008-93,TOOFAN MAIL #93,SIG-ENTRY-UPM,SIG-EXIT-DNM,00:09:54,Mail
BOXN-801-94,COAL RAKE SPECIAL #94,SIG-EXIT-DNM,SIG-ENTRY-UPS,00:10:01,Freight
CON-402-95,CONTAINER EXPRESS #95,SIG-ENTRY-UPS,SIG-EXIT-UPM,00:10:08,Freight
LOCO-REV-1-96,LIGHT ENGINE MOVEMENT #96,SIG-EXIT-UPM,SIG-ENTRY-DNM,00:10:15,Express
22436-97,VANDE BHARAT EXP #97,SIG-ENTRY-DNM,SIG-EXIT-UPS,00:10:22,Vande Bharat
12424-98,DIBRUGARH RAJDHANI #98,SIG-EXIT-UPS,SIG-ENTRY-UPM,00:10:29,Rajdhani
12301-99,HOWRAH RAJDHANI #99,SIG-ENTRY-UPM,SIG-EXIT-DNM,00:10:36,Rajdhani
12004-100,LUCKNOW SHATABDI #100,SIG-EXIT-DNM,SIG-ENTRY-UPS,00:10:43,Shatabdi
12014-101,AMRITSAR SHATABDI #101,SIG-ENTRY-UPS,SIG-EXIT-UPM,00:10:50,Shatabdi
12560-102,SHIV GANGA SF EXP #102,SIG-EXIT-UPM,SIG-ENTRY-DNM,00:10:57,SF Express
12418-103,PRAYAGRAJ EXPRESS #103,SIG-ENTRY-DNM,SIG-EXIT-UPS,00:11:04,SF Express
14206-104,DELHI-AYODHYA EXPRESS #104,SIG-EXIT-UPS,SIG-ENTRY-UPM,00:11:11,Express
12392-105,SHRAMJEEVI EXPRESS #105,SIG-ENTRY-UPM,SIG-EXIT-DNM,00:11:18,Express
64402-106,GHAZIABAD EMU LOCAL #106,SIG-EXIT-DNM,SIG-ENTRY-UPS,00:11:25,MEMU
64411-107,NEW DELHI EMU LOCAL #107,SIG-ENTRY-UPS,SIG-EXIT-UPM,00:11:32,MEMU
74002-108,ROHTAK DMU PASSENGER #108,SIG-EXIT-UPM,SIG-ENTRY-DNM,00:11:39,DMU
13008-109,TOOFAN MAIL #109,SIG-ENTRY-DNM,SIG-EXIT-UPS,00:11:46,Mail
BOXN-801-110,COAL RAKE SPECIAL #110,SIG-EXIT-UPS,SIG-ENTRY-UPM,00:11:53,Freight
CON-402-111,CONTAINER EXPRESS #111,SIG-ENTRY-UPM,SIG-EXIT-DNM,00:12:00,Freight
LOCO-REV-1-112,LIGHT ENGINE MOVEMENT #112,SIG-EXIT-DNM,SIG-ENTRY-UPS,00:12:07,Express
22436-113,VANDE BHARAT EXP #113,SIG-ENTRY-UPS,SIG-EXIT-UPM,00:12:14,Vande Bharat
12424-114,DIBRUGARH RAJDHANI #114,SIG-EXIT-UPM,SIG-ENTRY-DNM,00:12:21,Rajdhani
12301-115,HOWRAH RAJDHANI #115,SIG-ENTRY-DNM,SIG-EXIT-UPS,00:12:28,Rajdhani
12004-116,LUCKNOW SHATABDI #116,SIG-EXIT-UPS,SIG-ENTRY-UPM,00:12:35,Shatabdi
12014-117,AMRITSAR SHATABDI #117,SIG-ENTRY-UPM,SIG-EXIT-DNM,00:12:42,Shatabdi
12560-118,SHIV GANGA SF EXP #118,SIG-EXIT-DNM,SIG-ENTRY-UPS,00:12:49,SF Express
12418-119,PRAYAGRAJ EXPRESS #119,SIG-ENTRY-UPS,SIG-EXIT-UPM,00:12:56,SF Express
14206-120,DELHI-AYODHYA EXPRESS #120,SIG-EXIT-UPM,SIG-ENTRY-DNM,00:13:03,Express
